Job:, D8 Apr 11 2022.job.xml

DateTime:, 2022-07-06T16:29:42.244
part, T18
iteration, 0
List of Points
x,1260.0, y,905.2219326181597
x,1260.0, y,183.5
x,544.5705554973933, y,912.6503345850057
x,535.9528890347997, y,183.5
Tile Dimensions
top, measured px: ,724.047119140625, measured mm: ,33.23101708192208, theoretical mm: ,33.68000000000001, diff: ,-0.4489829180779239
bot, measured px: ,715.468007417289, measured mm: ,32.83726838699699, theoretical mm: ,32.93, diff: ,-0.0927316130030107
right, measured px: ,721.721923828125, measured mm: ,33.124299434539964, theoretical mm: ,33.68208759860351, diff: ,-0.5577881640635454
left, measured px: ,729.201253068622, measured mm: ,33.46757228402975, theoretical mm: ,33.68208759860351, diff: ,-0.2145153145737595
Package: T18/T19
top:,33.68
bot:,32.93
height:,33.68


DateTime:, 2022-07-06T16:30:06.339
part, T18
iteration, 0
List of Points
x,1259.5, y,909.4873188405796
x,1259.5, y,182.03449303990493
x,545.2020170362327, y,913.1105694788017
x,534.0107622951597, y,188.66334590667248
Tile Dimensions
top, measured px: ,725.519541287631, measured mm: ,33.29859567484161, theoretical mm: ,33.68000000000001, diff: ,-0.3814043251583996
bot, measured px: ,714.3071631824267, measured mm: ,32.783990038698406, theoretical mm: ,32.93, diff: ,-0.14600996130159416
right, measured px: ,727.4528198242188, measured mm: ,33.38732582841188, theoretical mm: ,33.68208759860351, diff: ,-0.2947617701916272
left, measured px: ,724.5337021237382, measured mm: ,33.25334939565713, theoretical mm: ,33.68208759860351, diff: ,-0.4287382029463771
Package: T18/T19
top:,33.68
bot:,32.93
height:,33.68


DateTime:, 2022-07-06T16:30:34.950
part, T18
iteration, 0
List of Points
x,531.9457286432161, y,186.99999999999272
x,540.7359105846926, y,915.8525859807633
x,1257.5, y,187.0
x,1257.5, y,908.8131930369448
Tile Dimensions
top, measured px: ,725.5542602539062, measured mm: ,33.30018914373453, theoretical mm: ,33.68000000000001, diff: ,-0.37981085626547895
bot, measured px: ,716.798665836823, measured mm: ,32.898340562413175, theoretical mm: ,32.93000000000001, diff: ,-0.031659437586831984
right, measured px: ,721.8131713867188, measured mm: ,33.12848735145607, theoretical mm: ,33.68208759860351, diff: ,-0.5536002471474362
